User,Location,Rating,Date,Content
Nicole B.,"Saint Paul, MN",5,9/22/2017,"I wish I could give Celine 20 stars, that's how much I love this place! This is now my by far, go-to favorite for coffee & pastries in the neighborhood. Since discovering it a couple weeks ago, I've been most weekend days and even during the week to do work!The ambiance here is amazing!! The decor is gorgeous (& comfortable!), with tons of seating options, from two-top tables, to a large conference-sized table, to window counter seats. It's bright and airy, and has a really cool full-wall bookshelf filled with beautiful little trinkets. Seriously, this place is gorgeous. And then, the food! I've had the butter croissant and a latte each time I've been (what can I say, I'm a creature of habit) and they are both INCREDIBLE. So, so good. I can't say enough about them. Also, the service is super friendly and fast! Honestly, this is by far & away my favorite coffee shop in Seattle, whether it's to meet friends to chat, or to do work (note: they don't have outlets. So make sure your computer is fully charged beforehand!). Love, love, LOVE Celine!"
Gus S.,"Seattle, WA",5,3/3/2019,"5 star for the super friendly service and the excellent baked goods. There are a few other coffee shops and bakeries within a short distance on Phinney Ridge, but Alex and Daniela did a great job creating a warmer and more welcoming atmosphere than the competitors, and for that alone we are repeat customers.The coffee is good, all the pastries are super delicious, and we always end up ordering more than what the doctors recommend :). Alex and Daniela also keep experimenting with new additions to their menu, so there is always a new specialty to look forward to! We love Cafe Celine and love having it in our community."
Elena H.,"Seattle, WA",4,3/8/2019,"This is one of the best place for pastries, loved the tart, pie, croissants. Everything they had was really delicious. This is one of the best place for baked goods. The prices are tad high over here other than that it really is amazing. I am pleased with the place."
Meg C.,"Seattle, WA",4,12/18/2019,"Delicious croissants in a cute space. Only bummer is my quiche Lorraine was a bit on the dry side, but I'll be back for pastries!"
Maria F.,"Seattle, WA",3,11/24/2019,"Great food, awful service. Long line because only one barista and all the other staff was behind baking. 15 mins to get a coffee after getting my croissant."
Xuaner Z.,"Emeryville, CA",5,7/30/2017,"Yelp sent me a recommendation for this place, so I came. I came in a group of three, so that we could try (share) different croissants! We had the Nutella, the original butter and the cheese danish. I love the original butter croissant since it's especially crispy! And we actually got the one that just came out fresh :)The cappuccino Viennese was great and unique, with whipped cream and a dash of coca powder. I also got the macchiato, with your choice of the amount of frothed milk. I just had a little.I also enjoy the wall decoration on one side of the store, with teapots, flowers and vases."
Marie B.,"Shoreline, WA",5,7/16/2017,"Figures just as my physician tells me to cut back on mochas and baked goods, a trio of fellow Yelpers wrote about Celine Patisserie in Seattle's Phinney Ridge. Owner told me they've been open since third week of June. 'Quoi?' If it wasn't for that trio, I'd be late to the party and just whiz by along the main thoroughfare.That's enough for this Francophile to amend her schedule on Sunday morning (7/16/17) and drive 'tout suite' to check it out. Lucked out with a parking spot right by the bus stop out front. I don't miss the former business, Picnic...one of the rare times me and my son (a toddler at the time) were totally ignored. Complete opposite at Celine Patisserie, one is warmly greeted. Lovely interior with a focal wall with lots of plants, including orchids. Live plants and culinary art prints/photos round up the decor.Assorted seating available with some outdoor sidewalk seating, indoor tables and bright sunlit counter. The latter is best for people/canine watching as the there is brisk neighborhood pedestrian traffic.Nice eclectic music and no outlets visible....sorry laptop campers. Here contemplation and conversation are highly encouraged.Surprisingly arriving before 9am, the case was looking sparse. They are probably figuring out par levels and baking in small batches from their open air kitchen to keep it fresh. It smelled *HEAVENLY* during the 75 minutes I've been sitting at the counter writing this post. Eventually the baking/owner couple will have to hire a barista and baking assistants as business continues to ramp up.I briefly glanced at their dessert case, but focused on their baked goods. I bought one of each to sample and later to share with the sleeping family members. Purchased and sampled bites of a classic croissant (nice burnish and lamination), another (thought it was a pain au chocolat), but it was bear claw cut filled with Nutella (nearly ate all of it!), cream cheese danish topped with berries, bacon tomato basil galette, ham and cheese, and onion cheese. 'Tous sont delicieux!'Coffee is from Illy...yay! Only place I have Illy on a regular basis is a European cafe by a Lynnwood Park and Ride. Who knew, right? My 8 ounce mocha was given choices (type of milk and sweetened or unsweetened whipped cream). It was a strong foil to my pastry sampling.In a nutshell, pastries are baked just right. Flavors are thankfully not cloying, but inventive that let the fresh ingredients stand on its own.Plus with slighly lower prices than most other spots featuring baked goods, that's a major bonus for all parties.Seattle is truly blessed with so many independent cafes/bake shops in several neighborhoods. Celine Patisserie is worth a visit!"
Donna W.,"Puyallup, WA",5,2/17/2019,"Quaint little spot, delicious eats but even more the coffee/latte was the best I've ever had. I loved it so much I had to take a cup to go."
Valentina N.,"Victory Heights, Seattle, WA",5,9/14/2019,"It's been a month or so since we first found Celine Patisserie, and we've been back for breakfast at least 7 times. We're in love! We've tried most everything on the menu and it's all been perfect. Quality is always superb. It's obviously good when customers place their order, finish their meal, then order something else for the road! New employees are also very nice and considerate. The shop is always clean, cozy.... I can't gush enough. Come and visit!"
stephanie x.,"Los Angeles, CA",5,2/19/2019,I just love coming in and finding out what flavor of croissants they are baking that day!The owners are nice people and there is plenty of space inside to meet friends or clients. It seems to fly under the radar a bit in that it's not usually too busy. I definitely recommend it for pastries.
Machiko S.,"Seattle, WA",5,11/4/2018,"I had their savory galette and flaky cup filled with raspberry jam and mascapone. Both of them has the right amount of flavor (not too much, not too little, just right). But it's the texture of their pastries that is so good. What's also great is they are bicyclist-friendly :-D. You get 10% off if you ride there. Of course without the discount, I'll still go there!"
Amy N.,"Seattle, WA",5,7/11/2019,I love taking the family here for morning coffee and pastries. We love the cruffins and almond croissant.
John G.,"Seattle, WA",5,1/10/2020,"I take these yelp stars literally - three stars is a-ok, which in my mind is not bad at all (and I go to and love going to three star places all the time). Five is ""as good as it gets"", which is what Celine is.  The baked goods here are on par with anything I had in Paris, and I think are a half notch better than Besalu or Le Panier in Pike Place.  By my palate this is perfection.  The place is cute too.  Coffee is solid, much better than the dark Besalu coffee of yore (prior to Herkimer purchase)."
Ann V.,"Seattle, WA",4,4/10/2018,"This cute French bakery and cafe is owned by super friendly and accommodating owners, who are originally from France (as I assume per their French accents)! I recently traveled to Europe, and cannot say enough about the espressos overseas! Nothing compares in the States, so I was super happy to find a local Seattle cafe that has espressos from illy brand! This cafe is located in Phinney Ridge area, close to Red Mill Burgers, on Greenwood Ave. Free street parking is available and relative easy to find. There's outdoor seating available for warm summer days, and inside, there's plenty of seating next to front counter and toward window seating. Their menu selection is a combination of single-shot / double-shot espressos (yes, European style), cappuccinos, mochas, lattes, iced coffees, etc., along with baked goods and pastries. I ordered a double espresso and a warm-toasted almond croissant, which were both tasty and delicious! Definitely recommend to Seattle folks curious about a European cafe experience!"
Yuliya M.,"Auburn, WA",5,9/26/2019,Amazing cafe and homey atmosphere. Try goat cheese quiche - absolutely in love with! Other pastries are fantastic!
Magdalena K.,"Tacoma, WA",4,4/1/2018,"This cute cafe really feels like you are in Europe! I love it! Everything from staff with an accent, delicious pastries array, coffee served in cute Pedro Almodovar cups and a community feel.. Sadly when I got there around 11 on an Easter Sunday there was not much left in their pastry case, except for croissants. I had my eyes set on one of the danishes I saw on yelp and took a bus here all the way from Capitol Hill just for them.Nevertheless the croissant was tasty and not too sweet and the coffee was ok! What will make me want to come back is the euro ambiance and plenty of places to sit, no matter if you have company or not. I really enjoyed my time here sitting at the counter table and looking out the street. Also I really need to sink my teeth in that danish!"
JB B.,"Everett, WA",5,9/17/2019,"Oh man, the monkey bread roll was fabulous A bit of caramelly goo on the bottom Lots of butter Love this place !!"
Autumn D.,"Seattle, WA",5,2/19/2020,"This place is so cute and the pastries are as tasty as they are pretty! The atmosphere was very nice as well, and the staff was friendly. A+ all around!"
Ho-On Y.,"Seattle, WA",5,11/30/2018,"The best bakery I've been to. From their quiches to their cakes, everything was so good. Their croissant - namely the Kouign Amann - is so delicious. I cannot resist getting it every time. They have an amazing americano as well. The staff there are so friendly and they even gave us some leftover croissants when we were leaving as they closed!"
L A.,"Snohomish, WA",2,9/28/2019,"Nothing bad, but nothing good. Macchiato I ordered, turned out to be a tiny latte, did not serve club soda with it. Tried to sell me lemon Perrier. Bacon Gallete was good but very small and over priced."
Girlgeek B.,"Redmond, WA",5,2/23/2020,"Lovely bakery, love the galettes, great place for breakfast date. Nice team serving as well. Lemon berry galette was awesome"
Vanessa C.,"Wallingford, Seattle, WA",4,9/1/2019,I loved the bacon and egg gallete! It was super flaky and delicious. However the other 2 items we ordered were not as good. The plain croissant had no flavor at all and the color was very dark. The chocolate croissant was just okay and it didn't really stand out.
Elena F.,"Anchorage, AK",5,2/23/2018,"I stumbled upon this french bakery/cafe while exploring the Greenwood area of Seattle. They're the best bakery in Seattle, in my humble opinion, and very affordable for the excellent quality of product. Celine's french macrons are the best and certainly the most flavorful that I've tried from any business in the United States that sells french macrons. Their pricing is excellent! They charge $1.95 plus tax per macron, and have a pile of 'Imperfect Macrons' that are $1 each. Anywhere else, macrons would run you about $2.50 each. I am grateful that their macrons are a wonderful price! I am also grateful that I've possibly found a new regular spot to do my work on my laptop. The staff here are friendly and very kind. The service is also fast and consistent. I look forward to getting to know them! I've never been to France in this life time, but I'm super certain that Celine's has authentic french baked goods."
Sherrie T.,"Bellevue, WA",5,11/2/2018,"Visited here thanks to fellow Yelpers and thought Celine Patisserie had some fun spins on traditional bakery items.  Since I had guest in town, I got a variety of sweet and savory pastries to try. And guess what? We enjoyed them all! Only downside, I was like a kid in a candy shop ordering and then eating everyting that I don't remember what each item was called. All I remember is how much I loved the sugary/caramalized version of a circular croissant (which the cashier recommended)! Also, there was a mistake with my order, probably since my order was so big and I am sure I was rambling on since I was so excited. But what impressed me the most is how the barista and cashier quickly fixed, apologized for the mistake and refunded the extra drink. They genuinely felt bad and wanted to make it right which made me feel that I was valued customer. If you haven't been here you are missing out and every calorie is worth it. Just glad this place is a bit of a drive for me otherwise I would be there all the time."
Liz S.,"Seattle, WA",5,12/30/2018,"I've been here about 10 times, and they consistently have the best pastries and best service. The owners are very kind and attentive. In addition, the chai is really delicious, spicy and sweet and something different from the typical Oregon or Morning Glory. Get here early in the morning to make sure you get your pick. I've enjoyed their sweet pastries (particularly the kouign amann, danish and almond croissant), though the savory are good too."
L H.,"Seattle, WA",5,2/7/2020,Just the greatest place. We moved back to Seattle (from the burbs-DON'T MOVE TO THE BURBS) this summer and were thrilled to discover Celine in our neighborhood. incredible pastries and coffee. would go here every day if calories weren't a thing.
Kerry M.,"Atlanta, GA",5,6/8/2019,"Truly as good or better than a Parisian Patisserie.  This place really evokes memories of falling in love on the streets of Paris with my first/only/amazing wife.  A clear passion for making sure everything exceeds expectations.  Alex made three SUBLIME  coffee beverages for us.  He went out of his way to make our beverages exactly as we wished. Cheers!  Well worth your patronage.   Will hopefully return, even though we only have 100 hours in Seattle on this trip."
A. F.,"Seattle, WA",5,9/9/2019,"My husband is French, and he is VERY particular about his baked goods. When he ate the Celine pastries, he said, ""Hm, that's good."" And a few bites later, ""Actually, it's very good!"" Enthusiasm from a French person is rare praise indeed!Delicious sweets and savory pastries here. Stock up for your next brunch party and everybody will thank you."
Shanzi R.,"Seattle, WA",4,6/27/2019,"Wow, beautiful pastries and helpful employees. Nice outdoor patio to enjoy when the weather permits. If there is a special, GET it!"
Chenchen Y.,"Seattle, WA",5,6/30/2019,"Went there for the pistachio croissant, unfortunately it was sold out. Had the chocolate hazelnut and earl grey croissant instead. They were great. Especially the earl grey was so refreshing!"
Daniel A.,"Los Angeles, CA",5,6/22/2019,"Best croissant I've had thus far in Seattle. I had the chocolate croissant and an oat milk Mocha, which were delicious. Love the decor (plant heavy) and atmosphere. The service was good, the staff friendly, and when they accidentally made the wrong drink, they caught it before it even got to me, and remade the drink and served me both in case I wanted it. It's in a nice very walkable neighborhood, and parking was easy to find, even on a busy Saturday."
Megan R.,"Happy Valley, Bellingham, WA",5,7/20/2019,"The earl grey cream filled croissant solved all the problems in my life. Kidding, but only a little bit. Seriously, any treat here is going to be phenomenal and the space is so nice!"
Pranav K.,"Seattle, WA",5,4/28/2019,"My goodness! I dint know if cafe umbria could be topped, but this place serves a killer marrachino, made personally by the owner, who knows his stuff! It's no longer on the menu, so perhaps just request nicely.  we had the sausage egg gallette, which was scrumptious and flavored well. The sausage could easily be served on the side and I would order it!! Like again and again. the ham croissant sandwich, the Danish creme brulee and the pistachio croissant were all good. All in all we went another round of marrachino to finish our meal"
Renee M.,"McAllen, TX",5,8/1/2019,"Great find! Quiet place for breakfast, lots of seating. The pastries were delicious. My latte was made to perfection. I highly recommend their danishes as well."
Natalie S.,"Seattle, WA",5,4/6/2019,The best pastries I have found in Seattle! I tried the pistachio croissant paired with a mocha and was quite impressed with the flavor and texture! The staff were very friendly and accommodating as well. I will definitely be back!
Tyra W.,"Northwest Washington, Washington, DC",5,1/26/2018,Awesome Macaroon and Croissant as everyone said!! The owner is a nice French couple and just moved here for one year. Definitely gonna try their fresh bakeries and pastries. You will NOT regret!!
Jorge P.,"Mercer Island, WA",5,11/21/2018,"I love Celine and always drive there when I get the chance. The food is delicious, the coffee is really food, but what is best is how friendly the couple that work there are. Last time I was there, me and my friends got carried away passed the closing time, and they just let us stay there!This place is definitely within my top 10 overall in Seattle and top 1 when I want to get a coffee or have a sweet tooth."
Amanda C.,"Seattle, WA",5,8/17/2018,"Came here for the fruit tarts, ended up working a few hours and staying till close. There aren't many outlets, so some charged. Great little place to relax, read a book, hang out. The pastries are kind of pricey ($5-6 each) but it's all high quality stuff I would pay for again! Also because we were the last to leave, the owners gave us a box of breakfast pastries to take home! So sweet of them!"
Mira K.,"Seattle, WA",5,11/14/2018,Just go there! You will never regret this visit.  European bakeries are the best!!They make nutella croissants that melts your heart not only your tongue.
Aslan C.,"Seattle, WA",5,5/8/2019,"We were on our way to the park and decided to stop by based on great reviews that I saw on Yelp. The place is pretty small but also have an outside seating area which is nice if you have a dog. Anyways, we tried a few different pastries and thought they were all fresh and tasty."
Diego G.,"Issaquah, WA",5,5/26/2019,"Incredible pastries.  Relaxing, quiet, clean atmosphere and a friendly staff.  Wow, we drove here from downtown and it was a bit of a gamble but it paid off!  Had a vanilla bean custard pastry and I think I died and went to heaven while eating it."
Rob F.,"Seattle, WA",5,4/25/2019,All the pastries I've tried are amazing and coffee is delicious. The quiche is my goto weekend brunch. The sandwiches are also delicious. Alex and co are very friendly and welcoming.
Zhe L.,"Ithaca, NY",1,11/3/2019,5 stars for food/drink. 1 star for WiFi which didn't let me connect to certain websites like github. Won't come again.
Cookie M.,"Mesa, AZ",5,6/12/2019,Great bakery!! I love their macarons. Very French :) and ice cream they use is a delicious local brand :)
Brian C.,"Seattle, WA",5,10/18/2018,"I've travelled to Paris and some other cities in Europe and have to say the pastries here rival the ones found in many pastry shops across Europe. This is my favorite place to get pastries in Seattle. Here's why: There's never a long line when I go. The charming couple who own and run the place,  Daniela and Alexei (Alex) enjoy serving their customers. The pastries have the right amount of balance of soft and crispy with top notch ingredients. The two pastries I am really enjoying at the moment are the heavenly Raspberry Mascarpone Cruffin (croissant muffin) and the Swedish Croissant Roll that has cinnamon and sugar in it. I haven't had their espresso drinks yet but since they have a nice espresso machine, use Caffe Umbria coffee beans, and lived in Italy for a while, I'm sure it's good. Hope this place stays around for a long time!"
Candice C.,"Kirkland, WA",5,7/11/2018,If you've seen any of my other reviews you know your girl is always down for dessert. This place is a sugar laced carb mecca and I will definitely be back.I decided to order my sis her birthday cake from this bakery after seeing some of the mirror glazed entremets pop up on my Insta a few times. They looked so cool and the flavor combos were way more sophisticated than the usual sheet cake (ain't nothin wrong with a supermarket sheet cake when you're 8 but in your thirties you gotta upgrade).Ordering was smooth and the cake was ready on time. It did have a decorating flaw because the mirror glaze got too thick around the sides and bunched up which honestly wouldn't have bothered me that much but the owner insisted that she felt terrible it wasn't 100% so she gave me another backup cake. Like who does that? I got a bonus cake y'all! And it was gorgeous. Matte red with gold flake. Both of the cakes were boss and I would have been happy with either but the fact that the owner decided to really ensure my satisfaction by giving me a whole other cake? Five stars for sure.I bought a box of viennoiseries while I was there for the pickup (couldn't resist) and I'm sure they were fantastic but can't actually say at full certainty because they were gobbled up by the fam before the next mornings breakfast rolled around.
Vijay S.,"Seattle, WA",4,11/20/2017,"Cute bakery with friendly owners/operators We got a chai (awesome mix that they use for this - was tasty)and passion fruit tart (spot on).No complaints - loved it and will go back when in the neighborhood (may not really be a ""destination bakery"" but well worth it if you happen to be in that neck of the woods - skip the Starbucks and go here!)"
Anaher B.,"Los Angeles, CA",5,3/30/2019,"Divine simply divine! Service was great. I purchased a chocolate mousse, feta and spinach galette (I hope I got that right), a creme brûlée danish and a medium mocha. All of it was just what I wanted today. Particularly their mocha isn't oozing with sugar and neither is their mousse; meaning they were perfectly sweetened. Glad I came in and would absolutely return again!"
Mazdak K.,"Irvine, CA",4,1/26/2019,"The pastries were delicious, and  were made meticulously. The  staff were friendly. Great place to have coffee and pastry on Saturday morning."
Caris C.,"Chicago, IL",5,5/31/2018,"Their pastries are to die for! This place deserves more than 5 stars! Stopped in one early afternoon on a weekday so the wait wasn't long and they had a great selection to choose from. I had a difficult time choosing between the chocolate almond croissant or the strawberry mascarpone croissant, so I went with both! Both were so finger lickin' delicious that I was disappointed that I only ordered two. Too bad I was long gone when I ate these bad boys because I would have ran back in to order more.... a lot more. This place ruined my diet and I ain't complainin' If you're in the area looking for some sweet treats, this is the spot to check out! Don't be a fool like me and only order two things, order more!"
Johannes B.,"Port Townsend, WA",5,1/24/2019,"Man, you Seattle people are so lucky to have so many amazing bakeries.  I am super jealous!  This patisserie is exquisite!  The cruffin (croissant/ muffin). Is a giant flaky treat that is hard to get your mouth around in a good way.  The savory gallettes with the egg in the middle are the bomb!  I want to go back and try the quiches!"
Tammie E.,"Seattle, WA",4,6/26/2018,"Pastries are 8 stars, they're so good! Coffee is 1 star, not very flavorful or strong. Service is really good. They used to wholesale at my favorite coffeeshop (Cracken, if you haven't been, do yourself a favor and go, it's worth the trek up north), but no more unfortunately. It was a great way to get their delish baked goods to a wider audience, but understand it can be hard to keep up. Anyway, if you're near greenlake & craving the best pastries then look no further."
David P.,"Miami, FL",5,10/8/2017,Great new pastry shop in a convenient location.  The shop is spacious and there's a variety of pastries.  The galette is delicious and the macaroons are very good.  Staff is very friendly.  Definitely worth stopping in as one of the best in Seattle.
Bubba S.,"Walnut Creek, CA",5,9/21/2018,"Found this gem on Yelp and it lived up to its 5 star rating. Croissants were super light and flakey, not excessively sweet and had good flavor, as good as any I've had in Paris. Mocha and chai tea lattes were tasty with good balance of taste and sweetness. Good casual place for a coffee and pastry snack in a coffee bar atmosphere. I would return...probably tomorrow."
Stacy V.,"Seattle, WA",5,4/30/2019,"Their almond croissant is the best I think I have ever had. Flakey crust layers forever!! Superb and rich almond flavor.Their coffee is good, but was not served very hot. You might want to specify super hot if that is your taste."
Jamie S.,"Seattle, WA",5,1/28/2019,"DELICIOUS!!! The spinach feta galette was great! The pastry was buttery and flaky and the filling was like Spanakopita. The fruit custard one wasn't as flaky as the spinach one but the custard was light and perfectly sweet. It tasted homemade, and the fruit added a little tartness. I love that it tastes high quality and isn't really sweet. The almond croissant is pretty large. It almost tasted like a biscotti. I have had a lot of almond croissants and this one was definitely top 2."
Sandi C.,"Redmond, WA",5,3/9/2019,"This is the BEST bakery in the entire Seattle area.  There is only 1 reason why this has 5 stars -- it is that good.    If you like yummy baked goods, you will love this place.  I had a raspberry  cruffin, coconut cream croissant, and a few other tasty treats.  LOVED EVERYTHING!!"
Manka V.,"Seattle, WA",5,9/29/2019,"Celine is just what Seattle needed in terms of croissants and pastries. Flaky crusts, textured dough, deliciousness and gorgeous presentation. I con every weekend to get croissants for my family. They love the plain, almond, Nutella, ham and cheese and berries and lemon custard ones. But they all seem fantastic!"
Dandelion F.,"Seattle, WA",5,7/5/2019,"Oh my... the cruffin. The cruffin with mascarpone and raspberry filling. I had thought nothing could wean me off of traditional croissants, but the cruffins at Celine have done it. The mascarpone and raspberry are much better than the Boston cream. Hazelnut croissants are a close second for me. The owners are so kind, and the variety so enticing--there is no better start to a Saturday/Sunday than a treat here. For something less sweet, try the breakfast danish, with egg and bacon. Weekday selection is not as large, but still good. Bon appetit!!!"
April S.,"Issaquah, WA",3,9/6/2017,"Come here for the pastries, not the coffee. Very pleasant service and the pastries are delicious, but the coffee is subpar for Seattle standards."
Etienne L.,"Walnut Creek, CA",4,8/24/2018,"Great little patisserie to get Macaroons, croissants and great service. I got a variety of snack for a get together. The person that helped me took his time explained his background and his passion to make great croissants. The chocolate croissants and macaroons were the best to me. I would come back to come back to try other items as I was very happy with my purchases. Note: Street Parking available and I would recommend to come before noon for more options as it sell pretty fast."
C R.,"Santa Rosa, CA",5,5/28/2018,"What a find. Was visiting from CA and staying nearby and discovered this patisserie on Yelp. Pasteries looked extaordinaire, but I can only personally vouch for the croissants, which were heavenly.Serious French chic vibe. Eclectic mix of customers. I will certainly return every time I visit Seattle. May move here to be closer to Celine's."
Seth L.,"Seattle, WA",5,4/7/2018,"Everything we've tried have been delicious, whether savory or sweet. Light, flaky dough with well balanced and flavorful fillings or toppings. Many items are stables, but new flavors do also appear. Glad to see they're willing to experiment. The coffee is excellent, always well executed. The folks are always super friendly, they always make you feel welcomed. Good food. Good drinks. Good folks. Our favorite bakery."
Jessica W.,"Seattle, WA",4,10/15/2018,So glad Celine has moved into the neighborhood because they make amazing baked goods. I have become a fast addict of their 'cruffin' (croissant/muffin) but find that it isn't always available (hence the missing star) and when it is they alternate between the lovely marscapone/fruit filling to the too sweet chocolate/caramel filling. The people working there are also very sweet and accommodating. Highly recommend trying everything!
Matt K.,"Seattle, WA",4,7/14/2018,"Some of the best non-bakery Nouveau pastries here in Seattle. Major bonus points for not having the crazy bakery nouveau lines and being in my neighborhood! Their laminated dough is always crispy, flaky, and buttery! I usually go for the Savory items and they have a decent selection! Their passion fruit tart was top notch as well. I wish there were more plugs in the waiting room. Also - I wish the egg on the some of the savory danish/croissants wasn't as cooked - maybe that's the way it has to be though for prebaked pastries and health code?"
Jun W.,"Seattle, WA",5,11/19/2018,It's a surprise this patisserie didn't have a 15min line for their perfect croissants! Both the hazelnut croissant and bacon egg sandwich were delicious!
Amy N.,"San Marcos, CA",1,1/13/2019,"I left my wallet at this establishment, I called back later when I realized I had forgotten it. Whoever answered told me they found it and left it on their counter for anyone to pick up. Someone else had taken my wallet because their staff thought it would be best to leave it out on their counter. Now I'm cancelling all my cards and don't understand why they didn't hold onto my wallet like any other place would have. Or asked whoever took it to identify something out of it instead of letting them just take it."
Shiwen C.,"Fremont, CA",5,3/21/2018,"This is my go to bakery for any pastry and cakes. My boyfriend bought a raspberry entremet red glazed cake for my birthday and not only did this cake look amazing, it also tasted divine!I also highly recommend their macarons since they are as good if not better than the ones from Paris. When I'm feeling savory, I'll usually get a bacon galette or breakfast galette. You honestly cannot go wrong with anything this bakery produces.In terms of customer service, I would give Celine patisserie a Michelin rating. I recently bought a cake for my mom and came to pick it up. I noticed the cake didn't have ""happy birthday Mom"" as requested and mentioned it to the owner. He quickly admitted that he had forgotten and took it back to put the writing on it. He returned 5 minutes later to say that he didn't like the quality of the writing and wanted to take more time to make sure the work was up to their standard. He offered me complimentary delivery to my work in SLU and even provided me some macarons for the road. Although I was perfectly fine with just having the cake delivered to me, the owner was extremely kind to offer macarons. I have only experienced this service one other time through my food travels. I cannot explain how much these small business owners value customer experience. They will continue to have my business in the future and I will always order cakes from them."
Lindsey W.,"Seattle, WA",5,8/23/2018,"This is my favorite pastry shop in all of Washington. Surprisingly affordable prices for handmade, exceptionally delicious pastries. It's so conveniently located, and has a calm, pretty interior. Alex, the owner, has a fantastic personality and makes a real effort to get to know his customers. He had my name memorized by the third visit !This is a perfect spot to study, relax, snack, or even just drop in. I can't praise it highly enough."
Seema G.,"New York, NY",5,11/29/2018,"This is my favorite neighborhood coffee shop. The pastries are made in house and are really special (eg raspberry mascarpone cruffin, three berries and custard gallete, amazing almond croissants, tarts, and macarons). I also love their chai latte -- it's spicy and not too sweet. To top it off, the owners are there everyday, making the drinks and pastries themselves. They are really sweet. I highly suggest supporting this local business -- you won't regret it."
Shiyao W.,"Seattle, WA",5,6/24/2018,"This is my favorite bakery in Seattle. The food  are fresh and delicious, the people are really nice. And easy to find a street parking nearby. Everything here is super amazing. Highly recommend to everyone!!!!!!"
Devin B.,"Northwest Seattle, Seattle, WA",4,9/9/2019,"Delicious treats and above par service. In my experience, employees are generous, helpful, and warm. My only bit of feedback would be to update the interior and at times the cafe gets humid and some of the pastries (like the kouign amann) get kind of chewy toward the second half of the day."
Yanlin P.,"Redmond, WA",5,6/10/2018,"I know this store after eating their bread in a coffee shop in Everett. I was so impressed by the bread so decided to visit their store the next day. I was not disappointed, their bakery is so far in the best that I had in Seattle area. My favorite is the breakfast galette, flaky, appropriately salted, yammy! Will definitely visit again and recommend to anyone."
Ai M.,"Kirkland, WA",5,3/16/2018,Pastries taste great!! Croissant was very flaky and perfect size. I wanted to eat everything. Definitely I will go back to try them all. Also the owners were so friendly and very helpful. There was a baby who kept coughing and the owner asked mom if he can bring a water for the baby. They work hard for customers. I highly recommend this place!
Keren V.,"Seattle, WA",5,8/23/2019,Great cafe!!! Got the mocha and Nutella croissant. Not too busy on a Wednesday afternoon and the prices were reasonable.
Hannah B.,"New Plymouth, OH",5,7/28/2019,"Everything we had here was absolutely delicious. The cruffin with raspberry and mascarpone was my personal favorite, but all the pastries we tried were decadent and truly special. The creme brûlée pastry was also one of the best pastries I've ever had. If I lived in Seattle I would come here weekly."
Lauren L.,"Seattle, WA",5,12/13/2017,"Great patisserie!  Update 9/2018.  I had ham and brie on a croissant today that was sublime.  Hand cut ham with luscious brie on the flakiest croissant with homemade aoili and baby lettuce.  This bakery knows what they are doing, and does it perfectly.  Their ""mini"" quiches, which I have tried in 2 flavors (broccoli/cheddar, and the traditional ""Lorraine""), are light and fluffy, and the crust so buttery and delicious!One of my absolute favorites is their ""Gallette"" with goat cheese/baby grape tomatoes, and shredded basil. This is strewn with pumpkin seeds and the surrounding pastry is sprinkled with sesame seeds.  GOD THEIR PASTRY IS AMAZING!  So many beautiful textures and flavors:  the absolutely delicious, flakey pastry is a delight, the crunch of the sesame seeds and the pumpkin seeds, the smooth/tangy flavors of the goat cheese and tomato..... Its true one is filling enough for me, but I just want to keep eating its so marvelous!  Their ""breakfast"" Gallette is a larger version and contains an over-easy/medium egg with other various toppings such as bacon.  This also has the lovely sesame seeds.Their sweet confections look absolutely AMAZING and I'm sure they are.  I can't wait to try more of their gorgeous bounty!  Oh and they make REAL ""Macaron"".  So many places import them from France because, quite frankly, they can be difficult to make successfully.  Celine has the touch, however, and their Macaron are lovely.  I tried the Pistachio and it was subtle and melted in my mouth.Pastries are priced well for their quality and size.  Delicious coffee available. Although there are several bakeries on Phinney/Greenwood, this is my absolute favorite! Very cordial owners, friendly service and pleasant atmosphere!"
Sage B.,"Green Lake, Seattle, WA",4,8/12/2018,"A cute spot on the main stretch of Phinney! I went out for a quick breakfast bite with my mother and we found it to be very authentically French! I had a latte and a broccoli cheddar quiche. My latte was tasty and the quiche was good, but I prefer a thicker more Americanized quiche. Then again it's a FRENCH bakery so I'd say it was very good. On the other hand my mother had one of the most delicious crepes I'd ever tasted and I had to fight her to even get a bite. It was decadent- chocolatey and nutty and perfectly flakey. She also had a Viennese (basically a cafe au lait with whipped cream and cinnamon!) that was delightful. The outdoor seating is alright and the service was friendly. It was an all around pleasant experience."
Rachael T.,"Seattle, WA",5,3/30/2018,"Friendly service. Clean cafeTheir croissants are bomb dot com! Way better than the ones I've had at Dahlia Bakery. The baked goods are freah,. Baked daily in the kitchen. You get to see the pastry chef working too. They offer to heat up your croissants, which is such a bonus. You will not regret buying a few things from them."
Ballardite A.,"Seattle, WA",5,9/15/2018,"Not often do I write a review or give five stars.  Please do not come here as I love the relaxing atmosphere.  But...  this place is spot on.  Ambiance, food, service all great.  Well done, cheers!"
